,place_name,bedroom,area,kecamatan,city,final_price,date,final_mortage_monthly
19154,Dijual Apartemen Setiabudi Residence 3br Bagus Furnished,3.0,142.0,Kuningan,Jakarta Selatan,3400000000.0,02/05/2023,24000000.0
19164,Dijual Apartement The Newton 1 1 BR Furnished Contact +62 81977403529,1.0,42.0,Kuningan,Jakarta Selatan,2500000000.0,11/05/2023,17000000.0
19175,Jual Cepat Apartement Sahid Sudirman Residence Di Tanah Abang,2.0,70.0,Tanah Abang,Jakarta Pusat,2300000000.0,02/05/2023,16000000.0
19187,Jual Rugi Beli 950 Jual 750 Masih Nego,1.0,37.0,Puri Mansion,Jakarta Barat,750000000.0,27/05/2023,5000000.0
19200,"Apartemen 57 Promenade, Private Lift. Negotiable",3.0,182.0,Thamrin,Jakarta Pusat,11500000000.0,01/06/2023,82000000.0
19214,Tb Simatupang Apartemen Branz 2br Private Lift,2.0,123.0,TB Simatupang,Jakarta Selatan,6300000000.0,02/05/2023,45000000.0
19229,"Dijual Apartement Sedayu City Kelapa Gading Lt 7, Jakarta Timur",1.0,31.0,Cakung,Jakarta Timur,750000000.0,02/05/2023,5000000.0
19245,"Apartemen Casa Grande Residence, Murah, Negotiable",2.0,98.0,Cassablanca,Jakarta Selatan,2600000000.0,17/05/2023,18000000.0
19262,Apartemen Cosmo Mansion Thamrin City. Siap Huni Harga Murah ,1.0,40.0,Tanah Abang,Jakarta Pusat,925000000.0,25/05/2023,6000000.0
19280,Dijual Apartemen Gading Mediterania 2 BR Rp 550 jt Nego Apartemen Gading Mediterania Residence 2 Kamar Tidur Bagus Semi Furnished,2.0,36.0,Kelapa Gading,Jakarta Utara,550000000.0,02/05/2023,3000000.0
19299,"Favorit Unit, Royal Medit 2 Bedroom Full Furnished",2.0,53.0,Central Park,Jakarta Barat,1520000000.0,02/05/2023,10000000.0
19319,"Apartemen Bellagio Residence, 3br Nice Furnished",3.0,200.0,Mega Kuningan,Jakarta Selatan,4000000000.0,04/06/2023,28000000.0
19320,Promo Dasyat Dp0% Fully Furnished Kingland Avenue Strategic Tepat Pinggir Jalan Raya Serpong,1.0,22.0,Kembangan,Jakarta Barat,500000000.0,02/05/2023,3000000.0
19322,"Dijual Apartemen Kemang Village Residence 4+1 BR Size 270 Sqm Fully Furnish Termurah 7,7 Miliar Sebelum Terjual Contact 087778899910",3.0,270.0,Kemang,Jakarta Selatan,7700000000.0,02/05/2023,55000000.0
